Position,avg_salary,avg_points,avg_value,player_count
C,8.0850555,8.042307692307691,3.835662881743359,78
PF,10.358641628571428,10.678571428571429,3.1395980825616436,70
PG,13.712421967213116,12.042622950819673,3.3665197142359506,61
PG-SG,21.4585285,16.05,1.6343634501961444,2
SF,10.347189927536231,10.62463768115942,3.2975815013606566,69
SF-PF,3.0,6.6,3.2999999999999994,1
SF-SG,12.239763,12.100000000000001,1.4678820111664643,2
SG,8.203737362637364,10.682417582417584,3.6327443749338655,91
SG-PG,16.650807,11.75,1.1611497790152547,2
