Player Name,Team,Position,GP,PTS,AST,TRB,Salary_M,Points_per_Million,Value_Score,PER
Davon Reed,DEN/LAL,SG,43,2.1,0.5,1.4,1.902133,1.104023745973599,2.1029023732830456,6.2
KZ Okpala,SAC,PF,35,1.3,0.4,1.0,1.902133,0.6834432713169899,1.419459101966056,6.2
Wenyen Gabriel,LAL,C,68,5.5,0.5,4.2,1.87872,2.9275251234883326,5.429228410832907,14.4
Thanasis Antetokounmpo,MIL,PF,37,1.4,0.4,1.2,1.87872,0.7451882132515755,1.5968318855390904,6.7
Moritz Wagner,ORL,C,57,10.5,1.5,4.5,1.87872,5.588911599386817,8.782575370464997,17.4
Keita Bates-Diop,SAS,PF,67,9.7,1.5,3.7,1.87872,5.163089763243059,7.930931698177482,14.9
Oshae Brissett,IND,PF,65,6.1,0.7,3.4,1.846738,3.303121503970785,5.523252350901968,10.6
Nathan Knight,MIN,C,38,3.7,0.3,1.5,1.83609,2.015151762713157,2.9954958634925304,14.5
Justin Jackson,BOS,SF,23,0.9,0.4,0.7,1.83609,0.4901720503896868,1.089271223088193,6.3
Isaiah Joe,OKC,SG,73,9.5,1.2,2.4,1.83609,5.174038309668916,7.1347265112276625,14.5
Ryan Arcidiacono,NYK/POR,PG,20,1.3,1.2,0.8,1.83609,0.7080262950073254,1.7972975180955182,2.7
Anthony Gill,WAS,PF,59,3.3,0.6,1.7,1.83609,1.7972975180955182,3.0499594246469397,11.1
Javonte Green,CHI,SF,32,5.2,0.7,2.8,1.815677,2.8639455145381034,4.791601149323365,14.5
Gabe Vincent,MIA,PG,68,9.4,2.5,2.1,1.815677,5.177132276280418,7.710622539141048,9.0
Max Strus,MIA,SF,80,11.5,2.1,3.2,1.815677,6.333725657151575,9.252747046969258,10.8
Nick Richards,CHO,C,65,8.2,0.6,6.4,1.782621,4.599968248999646,8.526770412779832,18.3
Lamar Stevens,CLE,SF,62,5.3,0.5,3.3,1.782621,2.973150209719284,5.104842812914242,9.5
Naji Marshall,NOP,SF,77,9.1,2.5,3.6,1.782621,5.104842812914242,8.526770412779832,11.4
Paul Reed,PHI,C,69,4.2,0.4,3.8,1.782621,2.356081298268112,4.712162596536224,19.2
Tre Jones,SAS,PG,68,12.9,6.6,3.6,1.782621,7.236535416109201,12.958447140474616,16.0
Haywood Highsmith,MIA,PF,54,4.4,0.8,3.5,1.752638,2.5105013128780733,4.963945777736189,8.5
Terry Taylor,CHI/IND,PF,31,2.9,0.3,1.5,1.703902,1.7019758178580693,2.7583746013561807,11.0
Jericho Sims,NYK,C,52,3.4,0.5,4.7,1.639842,2.0733704832538744,5.24440769293627,13.8
Sam Hauser,BOS,SF,80,6.4,0.9,2.6,1.637966,3.90728501079998,6.044081501081219,12.7
Kessler Edwards,BRK/SAC,SF,36,2.8,0.6,1.7,1.637966,1.7094371922249911,3.113617742981234,8.4
Vit Krejci,ATL,PG,29,1.2,0.6,0.9,1.563518,0.7674999584270856,1.7268749064609423,7.7
JT Thor,CHO,PF,69,3.8,0.5,2.2,1.563518,2.4304165350191043,4.157291441480047,7.0
Ayo Dosunmu,CHI,SG,80,8.6,2.6,2.8,1.563518,5.500416368727446,8.954166181649333,10.2
Isaiah Livers,DET,PF,52,6.7,0.8,2.8,1.563518,4.285208101217894,6.587707976499152,8.4
Daishen Nix,HOU,PG,57,4.0,2.3,1.7,1.563518,2.558333194756952,5.116666389513904,5.3
Austin Reaves,LAL,SG,64,13.0,3.4,3.0,1.563518,8.314582882960094,12.407915994571216,14.9
Jose Alvarado,NOP,PG,61,9.0,3.0,2.3,1.563518,5.756249688203142,9.146041171256105,11.8
Miles McBride,NYK,PG,64,3.5,1.1,0.8,1.563518,2.238541545412333,3.4537498129218847,8.4
Aaron Wiggins,OKC,SG,70,6.8,1.1,3.0,1.563518,4.349166431086818,6.971457955712695,12.2
Jock Landale,PHO,C,69,6.6,1.0,4.1,1.563518,4.221249771348971,7.483124594664084,16.4
Trendon Watford,POR,PF,62,7.4,2.1,3.8,1.563518,4.732916410300361,8.506457872566866,13.6
Dalano Banton,TOR,PG,31,4.6,1.2,1.5,1.563518,2.9420831739704947,4.6689580804314375,14.9
Christian Koloko,TOR,C,58,3.1,0.5,2.9,1.5,2.066666666666667,4.333333333333333,11.4
Bryce McGowens,CHO,SG,46,5.3,1.2,2.0,1.461055,3.6275157334939476,5.8177139122072745,7.2
Jordan Goodwin,WAS,PG,62,6.6,2.7,3.3,1.280206,5.155420299545542,9.842166026405128,14.8
Kennedy Chandler,MEM,PG,36,2.2,1.6,1.1,1.2,1.8333333333333335,4.083333333333334,10.6
Noah Vonleh,BOS,C,23,1.1,0.3,2.1,1.160955,0.9474958116378328,3.0147594006658314,5.9
Sandro Mamukelashvili,SAS/MIL,C,43,6.1,1.4,4.3,1.116112,5.465401321731152,10.572415671545508,13.4
Jaden Hardy,DAL,SG,48,8.8,1.4,1.9,1.017781,8.646260836073772,11.888608649601437,14.6
Max Christie,LAL,SG,41,3.1,0.5,1.8,1.017781,3.045841885435079,5.305660058499815,7.4
Jabari Walker,POR,SF,56,3.9,0.6,2.3,1.017781,3.8318655978054217,6.681201555147914,9.6
Eugene Omoruyi,DET/OKC,SF,40,7.0,0.7,2.8,1.013119,6.9093561565818025,10.364034234872705,10.9
Kris Dunn,UTA,PG,22,13.2,5.6,4.5,1.000001,13.1999868000132,23.2999767000233,19.1
Admiral Schofield,ORL,PF,37,4.2,0.8,1.7,0.87794,4.783926008611067,7.631501013736702,10.1
Moses Brown,BRK/LAC,C,36,4.3,0.1,3.9,0.824041,5.218186959144023,10.072314362998927,22.2
Matt Ryan,LAL/MIN,SF,34,3.6,0.5,0.8,0.806097,4.4659637735905235,6.078672914053768,8.1
Anthony Lamb,GSW,SF,62,6.7,1.5,3.5,0.694878,9.641980318847338,16.83748801947968,10.9
Trent Forrest,ATL,SG,23,2.3,1.7,1.6,0.508891,4.51963190545716,11.004321161113086,6.1
Mamadi Diakite,CLE,C,22,2.6,0.4,1.4,0.508891,5.109149110516791,8.64625234087457,9.0
Luka Garza,MIN,C,28,6.5,0.6,2.3,0.508891,12.772872776291976,18.471539091868394,23.0
Kevon Harris,ORL,SG,34,4.1,0.5,2.1,0.508891,8.056735135814938,13.165884246331728,9.2
Dominick Barlow,SAS,PF,28,3.9,0.9,3.6,0.508891,7.663723665775186,16.50648174166963,12.4
Jeff Dowtin,TOR,PG,25,2.4,1.2,0.9,0.508891,4.716137640477037,8.842758075894444,9.9
Orlando Robinson,MIA,C,31,3.7,0.8,4.1,0.386055,9.584126614083486,22.276618616518373,13.4
