Player Name,Team,Position,GP,PTS,AST,TRB,Salary_M,Points_per_Million,Value_Score,PER
Cameron Payne,PHO,PG,48,10.3,4.5,2.2,6.0,1.7166666666666668,2.8333333333333335,13.2
Justin Holiday,DAL/ATL,SF,46,4.5,0.9,1.2,5.987975,0.7515061435627237,1.1022090105586615,6.6
Cam Reddish,NYK/POR,SF,40,9.7,1.4,2.2,5.954454,1.6290326535396862,2.2336220919667866,10.6
Cameron Johnson,BRK/PHO,PF,42,15.5,1.9,4.4,5.887899,2.6325179830700223,3.702509163285579,17.1
Ricky Rubio,CLE,PG,33,5.2,3.5,2.1,5.853659,0.88833326300695,1.8449998539375112,10.4
Killian Hayes,DET,PG,76,10.3,6.2,2.9,5.83776,1.7643753768568766,3.323192457380913,10.2
Jonathan Kuminga,GSW,PF,67,9.9,1.9,3.4,5.73984,1.7247867536377322,2.648157439928639,13.3
Pat Connaughton,MIL,SF,61,7.6,1.3,4.6,5.728393,1.3267246154375232,2.3566818826850744,10.0
Tyler Herro,MIA,SG,67,20.1,4.2,5.4,5.722116,3.51268656559916,5.190387611855475,15.3
Romeo Langford,SAS,SG,43,6.9,1.2,2.7,5.634257,1.2246512716761058,1.9168454687104264,10.4
Dyson Daniels,NOP,PG,59,3.8,2.3,3.2,5.5086,0.6898304469375158,1.6882692517154994,8.8
JaVale McGee,DAL,C,42,4.4,0.3,2.5,5.461219,0.8056809294774666,1.3183869755085815,17.2
Goga Bitadze,ORL/IND,C,38,4.4,1.0,3.6,5.37752,0.8182210386944169,1.6736339427840343,17.1
Obi Toppin,NYK,PF,67,7.4,1.0,2.8,5.34828,1.3836223982289635,2.094131197319512,13.6
Franz Wagner,ORL,SF,80,18.6,3.5,4.1,5.25828,3.5372783495743856,4.982617890260694,15.9
Kendrick Nunn,LAL/WAS,SG,70,7.1,1.3,1.6,5.25,1.3523809523809522,1.9047619047619047,11.1
Hamidou Diallo,DET,SF,56,9.3,1.0,3.5,5.2,1.7884615384615385,2.6538461538461537,15.7
Cory Joseph,DET,PG,62,6.9,3.5,1.7,5.1555,1.3383764911259821,2.3470080496557073,12.1
